ID,MIN_TEMPERATURE,MAX_TEMPERATURE,MEAN_TEMPERATURE,TOTAL_PRECIPITATION,SPEED_MAX_GUST
1012710.2017.2.22,1,6.5,3.8,0.2,0
1012710.2017.2.23,0.7,7,3.9,0,0
1012710.2017.2.24,0.8,5.9,3.4,0,0
1012710.2017.2.25,0.8,6.5,3.7,0.2,39
1012710.2017.2.26,2.6,6.9,4.8,3.2,43
1012710.2017.2.27,0.4,3,1.7,2,0
1012710.2017.2.28,0.3,6.7,3.5,,46
1012710.2017.3.1,5.4,8.1,6.8,0.4,56
1012710.2017.3.2,5,8.1,6.6,3.6,0
1012710.2017.3.3,3.4,8.6,6,6.8,43
1012710.2017.3.4,1.8,5.8,3.8,0.2,0
1012710.2017.3.5,1.6,5.4,3.5,0.6,32
1012710.2017.3.6,1.6,5.3,3.5,2,41
1012710.2017.3.7,1.5,5.5,3.5,6,32
1012710.2017.3.8,2.1,6.6,4.4,2.8,32
1012710.2017.3.9,1.5,4.2,2.9,6.2,35
1012710.2017.3.10,3.7,9.9,6.8,0,72
1012710.2017.3.11,5.9,9.9,7.9,3,56
1012710.2017.3.12,7.8,10.6,9.2,0.6,41
1012710.2017.3.13,7.9,10.1,9,8.2,0
1012710.2017.3.14,8.4,14.2,11.3,5.6,46
1012710.2017.3.15,8.4,,,,44
1012710.2017.3.16,5.5,9.5,7.5,0,41
1012710.2017.3.17,3.5,8,5.8,4.4,0
1012710.2017.3.18,4.3,8.5,6.4,4.8,57
1012710.2017.3.19,1,9.5,5.3,0,0
1012710.2017.3.20,4.5,9.8,7.2,0,46
1012710.2017.3.21,7.1,11,9.1,0.6,32
1012710.2017.3.22,7.3,11.6,9.5,1.8,56
1012710.2017.3.23,5.7,11,8.4,0.4,32
1012710.2017.3.24,7.2,11.7,9.5,1.4,33
1012710.2017.3.25,6.1,9.5,7.8,1.2,37
1012710.2017.3.26,5.2,9.3,7.3,0.6,35
1012710.2017.3.27,5.4,10.6,8,0,37
1012710.2017.3.28,6.9,10.2,8.6,12.6,0
1012710.2017.3.29,7.5,11.9,9.7,5.4,65
1012710.2017.3.30,4.9,12.2,8.6,0,39
1012710.2017.3.31,4,9.1,6.6,0,0
1012710.2017.4.1,7.3,12.7,10,3.6,52
1012710.2017.4.2,5.9,10.3,8.1,0,59
1012710.2017.4.3,2.5,9.7,6.1,0,33
1012710.2017.4.4,5.8,12.9,9.4,0.6,0
1012710.2017.4.5,8.7,11.2,10,7.8,0
1012710.2017.4.6,8.6,11.4,10,0.6,33
1012710.2017.4.7,7.1,11.5,9.3,6,41
1012710.2017.4.8,6.9,9.3,8.1,1.4,43
1012710.2017.4.9,5.1,11.6,8.4,0.2,0
1012710.2017.4.10,7.5,10.3,8.9,0.2,44
1012710.2017.4.11,3.9,12.1,8,0,35
1012710.2017.4.12,7.1,13.1,10.1,5.8,33
1012710.2017.4.13,7.5,10.7,9.1,4.2,43
1012710.2017.4.14,6.2,10.4,8.3,0.4,43
1012710.2017.4.15,6.7,10.2,8.5,0,33
1012710.2017.4.16,5,14.9,10,0,43
1012710.2017.4.17,9.3,14.2,11.8,0,0
1012710.2017.4.18,7.7,13,10.4,0.2,35
1012710.2017.4.19,8.5,13.3,10.9,0.4,0
1012710.2017.4.20,7.5,12.9,10.2,0,37
1012710.2017.4.21,7.3,16.2,11.8,0,0
1012710.2017.4.22,10.7,13.4,12.1,0.6,33
1012710.2017.4.23,8.4,11.8,10.1,0.4,0
1012710.2017.4.24,7.6,12.8,10.2,0.8,0
1012710.2017.4.25,8.9,13.1,11,0.2,0
1012710.2017.4.26,8,11.7,9.9,0.4,63
1012710.2017.4.27,7.2,12.1,9.7,0,44
1012710.2017.4.28,5,14,9.5,0,35
1012710.2017.4.29,5,11.3,8.2,3.4,0
1012710.2017.4.30,7.6,12.6,10.1,0,50
1012710.2017.5.1,7.1,10.7,8.9,5,0
1012710.2017.5.2,5.6,13.3,9.5,0.8,0
1012710.2017.5.3,9.8,14.5,12.2,1.6,0
1012710.2017.5.4,10.5,16.7,13.6,0.2,0
1012710.2017.5.5,8.7,15,11.9,0,67
1012710.2017.5.6,6.8,12.6,9.7,0.2,39
1012710.2017.5.7,6.8,14.7,10.8,0,32
1012710.2017.5.8,7.7,12.8,10.3,0,0
1012710.2017.5.9,7.2,14.8,11,0,0
1012710.2017.5.10,10.5,13.6,12.1,0,0
1012710.2017.5.11,9.3,13.5,11.4,4,37
1012710.2017.5.12,7.6,12,9.8,0,0
1012710.2017.5.13,8.1,12.2,10.2,0,0
1012710.2017.5.14,8.4,12.4,10.4,0,0
1012710.2017.5.15,8.5,10.2,9.4,3.2,32
1012710.2017.5.16,6.6,13.2,9.9,1.6,44
